300 4730
150 298 30
151 70 19
151 82 2
151 83 36
151 85 24
151 87 28
151 96 33
151 104 33
151 118 35
151 141 11
151 152 100
151 172 38
151 198 19
151 211 33
151 219 36
151 234 22
151 249 22
151 255 31
151 275 35
151 282 8
151 285 5
151 296 18
152 67 32
152 109 7
152 153 100
152 210 7
152 238 16
152 280 9
153 11 44
153 29 34
153 69 20
153 102 49
153 112 5
153 115 10
153 116 37
153 134 33
153 138 19
153 142 34
153 154 100
153 184 29
153 215 39
153 218 2
153 249 12
153 251 38
153 255 26
153 257 19
153 260 36
153 263 26
153 283 2
153 299 30
154 3 24
154 31 15
154 76 42
154 84 42
154 86 5
154 107 15
154 125 2
154 132 7
154 143 10
154 150 40
154 155 100
154 173 36
154 192 4
154 203 2
154 227 14
154 240 31
154 246 45
154 256 17
154 268 48
154 295 46
155 38 36
155 57 47
155 74 11
155 89 29
155 118 27
155 156 100
155 158 21
155 186 14
155 194 28
155 237 48
155 268 41
156 16 11
156 23 35
156 39 26
156 46 2
156 48 3
156 63 44
156 67 6
156 78 42
156 100 24
156 104 46
156 109 17
156 114 39
156 118 39
156 150 38
156 154 47
156 157 100
156 165 25
156 168 2
156 265 30
156 274 7
156 285 14
156 294 30
156 297 9
157 11 16
157 21 13
157 29 41
157 81 5
157 90 13
157 92 11
157 105 15
157 129 34
157 138 34
157 152 28
157 158 100
157 171 10
157 179 7
157 283 2
158 3 3
158 4 43
158 43 44
158 44 8
158 53 1
158 116 20
158 120 47
158 133 40
158 145 30
158 148 12
158 159 100
158 171 30
158 202 5
158 241 14
158 252 42
158 294 40
159 13 6
159 30 1
159 53 36
159 62 14
159 85 45
159 93 24
159 94 4
159 97 32
159 102 4
159 136 6
159 143 43
159 148 17
159 160 100
159 161 3
159 166 10
159 185 40
159 211 9
159 215 38
159 226 39
159 271 31
160 1 29
160 3 26
160 47 4
160 71 6
160 75 40
160 153 45
160 161 100
160 172 39
160 197 23
160 235 19
160 245 17
160 247 30
160 257 10
160 269 15
160 298 6
161 1 39
161 70 11
161 85 44
161 91 36
161 108 12
161 130 30
161 158 19
161 161 8
161 162 100
161 169 12
161 170 26
161 176 31
161 178 42
161 187 12
161 190 15
161 191 40
161 195 13
161 210 21
161 223 41
161 240 18
161 255 32
161 258 3
161 262 38
161 270 35
162 44 46
162 49 7
162 64 39
162 91 35
162 95 28
162 101 1
162 130 37
162 163 100
162 170 39
162 188 21
162 229 36
162 232 8
162 233 20
162 278 38
162 294 2
163 5 12
163 28 13
163 39 48
163 67 43
163 71 18
163 96 3
163 97 2
163 143 19
163 164 100
163 167 9
163 176 1
163 185 39
163 191 27
163 223 16
163 226 48
163 271 20
164 25 28
164 37 20
164 52 27
164 133 14
164 157 2
164 159 25
164 165 100
164 168 38
164 215 49
164 232 48
164 245 42
164 255 8
165 20 20
165 22 26
165 32 32
165 49 19
165 50 20
165 77 33
165 92 22
165 132 8
165 157 42
165 166 100
165 174 11
165 189 11
165 198 36
165 199 25
165 201 27
165 215 48
165 248 35
165 261 22
165 272 16
165 274 14
165 280 32
166 4 48
166 6 41
166 44 32
166 55 40
166 87 18
166 91 32
166 118 39
166 135 17
166 164 18
166 167 100
166 171 41
166 199 27
166 284 23
166 291 23
167 3 30
167 45 28
167 50 28
167 51 20
167 76 49
167 105 35
167 168 100
167 224 23
167 248 48
167 258 12
167 265 25
167 290 40
167 294 22
168 4 39
168 26 47
168 32 15
168 36 31
168 52 35
168 79 25
168 83 38
168 91 17
168 94 23
168 97 39
168 133 21
168 151 37
168 169 100
168 183 39
168 187 7
168 188 4
168 195 8
168 205 40
168 244 26
168 245 45
168 246 43
168 253 47
168 279 42
168 282 9
168 294 47
169 18 39
169 24 21
169 34 17
169 52 28
169 64 30
169 111 2
169 116 28
169 128 42
169 138 49
169 142 44
169 151 38
169 170 100
169 189 18
169 193 13
169 211 23
169 231 9
169 287 28
170 63 24
170 135 36
170 149 49
170 171 100
170 195 18
170 221 26
170 245 19
170 274 3
170 299 17
171 1 11
171 36 24
171 61 37
171 74 11
171 123 20
171 131 41
171 172 100
171 179 41
171 299 42
172 7 46
172 10 16
172 22 31
172 37 22
172 46 12
172 71 20
172 81 28
172 82 33
172 123 47
172 126 13
172 132 34
172 144 42
172 158 34
172 173 100
172 179 15
172 182 8
172 198 45
172 199 37
172 224 36
172 250 5
172 253 21
172 263 20
172 274 29
172 277 34
172 293 3
173 16 29
173 174 100
173 221 49
173 224 1
173 261 17
173 279 15
174 3 44
174 22 24
174 26 24
174 44 46
174 110 13
174 115 33
174 175 100
174 179 31
174 211 11
174 220 48
174 222 15
174 224 27
174 232 43
174 239 42
174 251 37
174 252 13
174 261 27
174 268 28
174 279 18
174 280 49
174 284 32
174 293 20
175 6 40
175 20 19
175 33 1
175 43 33
175 51 33
175 53 42
175 66 42
175 75 42
175 115 45
175 117 46
175 128 1
175 139 15
175 154 9
175 161 49
175 165 8
175 171 8
175 176 100
175 200 11
175 216 4
175 221 31
175 231 9
175 280 30
175 290 25
176 12 25
176 29 2
176 42 23
176 52 15
176 56 40
176 70 40
176 74 5
176 82 31
176 162 28
176 177 100
176 188 43
176 195 9
176 207 8
176 213 24
176 230 6
176 235 27
176 247 48
176 256 49
176 276 16
176 285 44
176 287 5
176 296 6
177 20 10
177 25 26
177 66 11
177 178 100
177 214 7
177 226 19
177 228 40
177 242 26
177 246 5
177 271 15
178 12 37
178 29 21
178 40 44
178 53 40
178 57 49
178 64 32
178 72 35
178 74 2
178 91 10
178 95 5
178 121 20
178 148 38
178 151 4
178 179 100
178 180 17
178 222 44
178 231 34
178 232 24
178 260 44
178 272 24
178 273 14
178 296 49
179 10 47
179 53 22
179 79 11
179 95 34
179 115 37
179 134 5
179 136 28
179 151 14
179 155 5
179 159 46
179 163 22
179 180 100
179 197 46
179 204 4
179 205 18
179 228 34
179 237 13
179 245 41
179 259 47
179 278 46
179 281 22
179 293 28
180 42 9
180 71 37
180 78 27
180 90 23
180 108 38
180 128 28
180 181 100
180 183 43
180 192 15
180 202 9
180 239 4
180 249 16
180 273 30
181 30 31
181 49 13
181 62 21
181 96 46
181 97 33
181 110 32
181 126 22
181 182 100
181 229 6
181 235 2
181 239 25
181 298 10
182 11 47
182 23 36
182 25 11
182 30 21
182 32 8
182 34 26
182 48 33
182 50 7
182 60 13
182 61 15
182 77 3
182 86 31
182 114 40
182 134 34
182 172 35
182 180 24
182 183 24
182 191 48
182 210 24
182 234 43
182 274 12
182 295 16
183 21 4
183 97 38
183 119 6
183 137 33
183 162 48
183 179 1
183 184 100
183 198 24
183 252 4
183 267 34
183 281 30
183 295 41
183 300 26
184 28 3
184 59 8
184 77 14
184 108 28
184 113 7
184 122 37
184 170 44
184 185 100
184 210 47
184 255 1
184 286 17
185 53 49
185 81 30
185 109 42
185 186 100
185 197 47
185 206 49
185 278 47
186 1 4
186 19 2
186 35 31
186 55 46
186 69 35
186 76 31
186 97 31
186 117 23
186 133 8
186 165 47
186 166 21
186 187 42
186 206 42
186 210 11
186 253 42
186 260 20
186 264 44
186 273 49
187 12 48
187 59 44
187 65 17
187 68 19
187 94 39
187 101 9
187 134 8
187 152 7
187 172 3
187 188 100
187 220 9
187 224 13
187 238 2
187 241 8
187 263 36
187 297 14
188 14 18
188 45 4
188 189 100
188 198 22
188 232 43
188 238 6
189 2 29
189 22 24
189 33 31
189 47 16
189 75 4
189 149 19
189 157 2
189 169 13
189 190 100
189 229 7
189 230 25
189 233 8
189 236 36
189 238 47
189 243 33
189 262 37
189 268 17
189 278 14
189 299 37
190 24 46
190 43 40
190 50 36
190 53 18
190 65 49
190 70 49
190 91 36
190 101 20
190 138 17
190 140 12
190 149 16
190 170 40
190 172 11
190 184 41
190 191 100
190 216 28
190 226 27
190 228 25
190 230 25
190 243 2
190 255 46
190 258 15
190 262 24
190 273 13
191 13 31
191 68 41
191 98 22
191 112 41
191 118 42
191 139 31
191 158 15
191 161 33
191 192 100
191 202 23
191 236 6
192 20 19
192 36 3
192 41 30
192 44 48
192 54 15
192 62 36
192 84 40
192 98 41
192 152 40
192 178 32
192 180 11
192 193 31
192 200 23
192 204 16
192 232 13
192 234 32
192 247 28
192 261 44
192 296 41
193 13 1
193 41 2
193 46 5
193 57 18
193 63 19
193 87 6
193 113 23
193 141 12
193 143 6
193 161 31
193 164 47
193 169 45
193 180 6
193 181 40
193 194 100
193 200 34
193 203 39
193 213 44
193 221 33
193 290 10
193 299 13
194 19 12
194 30 12
194 35 5
194 49 23
194 58 3
194 61 49
194 68 4
194 92 31
194 101 35
194 102 38
194 103 49
194 111 33
194 112 42
194 116 49
194 140 36
194 146 28
194 157 22
194 166 36
194 185 44
194 189 15
194 195 100
194 234 23
194 272 12
194 281 46
195 5 11
195 7 14
195 29 6
195 30 2
195 32 26
195 39 19
195 57 30
195 78 29
195 81 2
195 111 27
195 122 24
195 146 2
195 150 28
195 154 27
195 161 28
195 170 20
195 191 48
195 196 100
195 213 36
195 223 2
195 236 17
195 246 31
195 248 9
195 252 23
196 25 48
196 59 7
196 80 5
196 89 7
196 101 32
196 108 13
196 110 5
196 136 17
196 137 43
196 197 100
196 212 12
196 221 22
196 226 16
196 229 29
196 264 37
196 285 31
196 294 22
197 141 10
197 147 36
197 157 17
197 180 3
197 198 100
197 283 15
197 284 17
198 6 13
198 18 23
198 59 16
198 101 48
198 124 23
198 125 15
198 132 18
198 199 100
198 265 18
198 268 11
199 44 41
199 46 24
199 60 5
199 117 47
199 162 42
199 200 100
199 235 40
199 241 33
199 273 29
200 15 42
200 46 27
200 50 6
200 96 49
200 97 23
200 108 4
200 119 7
200 129 1
200 132 43
200 136 29
200 147 8
200 149 14
200 158 18
200 165 26
200 201 100
200 215 14
200 237 17
200 238 24
200 259 18
200 300 15
201 8 23
201 43 37
201 90 31
201 100 10
201 132 39
201 162 15
201 171 15
201 179 27
201 202 100
201 205 29
201 255 6
201 267 1
201 271 15
201 287 9
202 57 36
202 82 42
202 86 8
202 203 100
202 206 45
202 222 49
202 224 10
203 9 3
203 18 4
203 48 20
203 85 41
203 87 30
203 105 27
203 119 35
203 122 4
203 139 27
203 186 31
203 193 27
203 204 100
203 207 11
203 230 10
203 250 38
204 2 27
204 6 9
204 29 41
204 45 32
204 54 37
204 70 12
204 96 12
204 103 7
204 182 40
204 186 19
204 188 29
204 191 17
204 205 100
204 217 20
204 227 35
204 237 28
204 247 40
204 278 41
204 299 6
205 7 48
205 22 5
205 30 5
205 43 3
205 45 26
205 68 31
205 85 49
205 89 37
205 99 3
205 107 3
205 154 41
205 161 42
205 177 7
205 201 20
205 203 14
205 206 100
205 231 49
205 236 13
205 247 13
205 257 31
205 275 6
205 288 26
205 299 2
206 7 11
206 15 34
206 53 46
206 62 8
206 69 11
206 88 5
206 105 5
206 107 7
206 136 3
206 154 28
206 165 25
206 174 18
206 195 12
206 207 100
206 215 47
206 236 13
206 275 17
206 283 5
206 291 31
206 297 5
207 28 37
207 33 21
207 62 45
207 63 26
207 88 13
207 99 29
207 111 43
207 159 15
207 169 2
207 208 100
207 219 14
207 227 7
207 232 18
207 245 23
207 256 12
207 272 5
207 282 15
208 104 1
208 116 1
208 158 31
208 162 5
208 209 100
208 210 22
208 229 34
208 251 22
208 277 31
209 40 39
209 69 33
209 79 9
209 88 25
209 138 3
209 139 28
209 147 4
209 185 19
209 190 47
209 210 100
209 299 10
210 4 22
210 46 34
210 81 41
210 88 38
210 118 10
210 130 12
210 138 20
210 147 40
210 174 23
210 191 8
210 202 15
210 206 10
210 211 100
210 212 46
210 254 32
210 280 9
210 281 15
210 287 30
210 289 4
211 23 14
211 27 7
211 42 18
211 77 18
211 87 1
211 212 100
211 253 9
211 289 36
211 296 28
212 2 30
212 109 41
212 123 20
212 125 29
212 135 36
212 142 15
212 160 14
212 163 18
212 191 24
212 195 23
212 199 32
212 200 17
212 207 18
212 213 100
212 218 45
212 241 49
212 257 1
212 297 2
213 8 9
213 9 10
213 46 10
213 54 34
213 75 9
213 78 4
213 98 5
213 115 30
213 146 11
213 149 27
213 159 32
213 166 12
213 172 42
213 183 41
213 187 16
213 188 5
213 204 19
213 210 47
213 214 100
213 258 29
213 261 38
213 287 13
214 14 17
214 27 30
214 36 46
214 40 6
214 70 45
214 94 32
214 120 22
214 129 21
214 167 16
214 206 30
214 215 100
214 236 14
214 241 15
214 254 45
214 258 40
214 277 14
215 14 40
215 47 1
215 78 9
215 85 30
215 91 4
215 98 39
215 103 48
215 109 14
215 120 12
215 144 45
215 160 43
215 174 22
215 189 14
215 208 46
215 216 100
215 236 32
215 253 28
215 280 9
215 283 8
216 11 13
216 19 14
216 50 36
216 60 24
216 61 40
216 66 22
216 70 40
216 85 40
216 90 21
216 112 30
216 137 10
216 152 11
216 158 14
216 172 30
216 174 15
216 175 11
216 181 10
216 207 38
216 213 6
216 217 100
216 220 24
216 241 45
216 272 34
216 287 47
216 297 40
217 8 2
217 27 21
217 33 42
217 41 40
217 68 36
217 75 34
217 80 42
217 92 24
217 100 43
217 147 5
217 149 3
217 169 30
217 170 23
217 191 46
217 208 36
217 210 11
217 218 100
217 235 29
217 243 10
217 257 5
217 266 7
218 43 5
218 48 13
218 50 5
218 62 5
218 101 40
218 107 4
218 115 6
218 116 36
218 121 32
218 153 15
218 176 19
218 192 20
218 205 34
218 213 28
218 219 100
218 221 25
218 236 38
218 241 42
218 264 30
218 280 35
218 283 17
218 289 23
219 86 35
219 123 12
219 220 100
219 221 26
219 224 38
219 257 39
219 290 41
220 43 44
220 83 48
220 103 5
220 111 16
220 112 43
220 113 48
220 115 35
220 118 29
220 137 31
220 154 10
220 164 4
220 165 20
220 188 6
220 197 26
220 221 100
220 223 3
220 293 12
221 12 12
221 21 48
221 185 26
221 222 100
221 271 36
221 282 14
222 35 20
222 37 48
222 78 36
222 79 22
222 93 27
222 94 8
222 103 41
222 121 5
222 123 11
222 132 4
222 136 16
222 151 19
222 199 26
222 223 100
222 251 39
222 252 12
222 254 9
222 259 40
222 270 21
222 284 43
222 292 34
223 4 11
223 64 36
223 71 35
223 79 48
223 93 42
223 101 22
223 182 19
223 199 19
223 207 48
223 223 4
223 224 100
223 258 43
223 271 46
223 283 46
224 6 22
224 12 45
224 36 38
224 41 40
224 54 12
224 101 19
224 111 7
224 112 42
224 121 40
224 134 35
224 146 17
224 170 11
224 182 32
224 193 35
224 225 100
224 234 23
224 256 35
224 263 8
224 293 41
225 26 46
225 37 26
225 39 22
225 52 3
225 62 16
225 71 29
225 73 12
225 81 28
225 85 32
225 116 33
225 130 25
225 141 43
225 162 43
225 178 26
225 183 3
225 193 1
225 226 100
225 243 21
225 264 37
225 267 21
225 278 27
225 283 12
225 296 25
226 8 9
226 75 17
226 152 27
226 185 30
226 203 22
226 205 5
226 223 17
226 225 7
226 227 100
226 235 42
226 256 48
226 277 18
226 285 2
226 293 8
226 295 34
227 22 16
227 32 21
227 37 40
227 46 30
227 61 1
227 87 22
227 108 17
227 130 7
227 133 18
227 136 26
227 146 46
227 160 15
227 175 42
227 189 27
227 218 16
227 228 21
227 250 33
227 254 44
227 297 39
227 299 2
228 49 21
228 50 37
228 52 48
228 55 18
228 76 14
228 85 24
228 116 6
228 123 25
228 229 100
228 230 4
228 238 46
228 279 12
229 24 7
229 76 3
229 91 14
229 94 3
229 107 13
229 128 3
229 140 21
229 185 17
229 191 46
229 210 28
229 230 100
229 245 22
229 254 7
229 260 5
230 21 30
230 48 38
230 89 47
230 96 12
230 152 6
230 154 16
230 157 11
230 158 44
230 188 23
230 193 26
230 223 35
230 231 100
230 251 41
230 263 49
230 288 21
231 2 9
231 5 17
231 35 7
231 51 23
231 63 6
231 70 26
231 112 40
231 120 45
231 133 35
231 162 44
231 189 6
231 194 3
231 227 29
231 232 100
231 261 15
231 277 46
232 13 48
232 62 28
232 102 23
232 115 2
232 147 46
232 169 37
232 172 34
232 186 41
232 233 100
232 234 48
232 266 7
232 290 40
232 297 2
233 53 47
233 94 49
233 118 36
233 145 13
233 151 21
233 186 15
233 193 34
233 197 1
233 232 48
233 234 100
233 264 16
233 277 21
233 292 31
233 300 18
234 6 40
234 18 45
234 44 20
234 72 44
234 76 49
234 115 34
234 124 25
234 157 15
234 166 28
234 227 17
234 235 100
234 263 27
234 271 32
234 273 46
235 51 11
235 53 21
235 72 36
235 236 100
235 264 38
235 276 28
236 158 14
236 206 20
236 216 7
236 221 39
236 237 100
236 269 32
237 10 16
237 25 1
237 39 1
237 40 22
237 102 44
237 130 2
237 177 3
237 238 100
237 254 45
238 46 34
238 110 36
238 128 31
238 147 14
238 151 23
238 169 5
238 178 14
238 195 37
238 202 16
238 214 10
238 224 11
238 239 100
238 259 36
238 264 29
239 30 41
239 35 49
239 48 26
239 61 45
239 75 3
239 81 2
239 118 18
239 132 37
239 148 2
239 167 29
239 175 11
239 190 12
239 232 31
239 235 42
239 237 9
239 240 100
239 253 12
239 272 26
239 278 6
239 289 35
240 5 5
240 6 9
240 40 28
240 44 33
240 59 30
240 67 15
240 68 48
240 92 5
240 124 18
240 152 23
240 178 43
240 181 32
240 185 20
240 200 45
240 210 38
240 215 35
240 224 25
240 241 100
240 297 9
241 1 16
241 4 1
241 8 24
241 40 10
241 50 1
241 59 20
241 85 42
241 98 49
241 108 26
241 147 42
241 153 15
241 175 1
241 188 14
241 193 8
241 194 41
241 231 18
241 237 34
241 242 100
241 257 32
241 268 38
241 271 44
241 285 19
241 290 16
242 12 37
242 13 41
242 30 25
242 37 37
242 43 20
242 59 46
242 65 9
242 76 8
242 93 6
242 102 29
242 119 46
242 157 47
242 206 19
242 222 3
242 242 8
242 243 100
242 270 35
242 278 33
242 300 44
243 9 23
243 25 22
243 34 14
243 56 12
243 82 39
243 93 25
243 116 18
243 128 28
243 162 32
243 175 42
243 185 7
243 187 17
243 200 1
243 226 27
243 230 42
243 244 100
243 248 38
243 267 42
244 7 22
244 8 48
244 29 12
244 40 24
244 48 13
244 60 24
244 94 15
244 105 47
244 106 49
244 130 6
244 151 24
244 152 49
244 165 14
244 179 26
244 183 26
244 191 2
244 212 33
244 229 26
244 230 30
244 245 100
244 263 23
244 283 22
244 297 29
245 38 43
245 57 33
245 63 31
245 101 26
245 205 10
245 246 100
245 247 13
245 280 41
246 7 43
246 9 36
246 17 42
246 48 31
246 74 25
246 97 28
246 131 7
246 160 10
246 163 23
246 177 41
246 183 17
246 206 7
246 210 11
246 213 26
246 245 22
246 247 100
246 261 12
246 266 32
246 271 15
246 284 16
246 290 33
247 15 13
247 43 13
247 58 39
247 69 22
247 89 37
247 113 27
247 114 33
247 128 17
247 146 23
247 167 5
247 168 5
247 184 4
247 197 21
247 242 11
247 248 100
247 254 30
248 10 42
248 19 29
248 24 5
248 28 13
248 40 5
248 47 44
248 48 26
248 65 14
248 84 18
248 153 12
248 186 36
248 205 45
248 221 24
248 234 20
248 244 27
248 247 9
248 249 100
248 250 32
248 252 47
248 253 45
248 283 27
248 292 30
248 297 37
248 299 9
249 17 2
249 21 31
249 32 47
249 67 28
249 82 4
249 93 24
249 100 34
249 126 8
249 152 6
249 171 2
249 186 47
249 250 100
249 256 24
249 284 31
249 293 25
250 103 6
250 127 40
250 136 17
250 144 15
250 146 14
250 155 14
250 159 13
250 193 33
250 218 28
250 224 4
250 234 46
250 238 47
250 250 14
250 251 100
250 252 27
250 256 46
250 270 7
250 288 36
250 296 23
251 27 1
251 64 42
251 70 18
251 77 30
251 88 31
251 129 23
251 133 38
251 158 49
251 192 15
251 203 17
251 213 41
251 218 47
251 221 16
251 237 49
251 239 25
251 241 26
251 252 100
251 254 22
251 255 29
252 29 8
252 39 3
252 96 6
252 124 29
252 127 6
252 185 33
252 203 30
252 253 100
252 259 18
253 2 23
253 15 37
253 53 5
253 91 23
253 110 41
253 111 22
253 134 46
253 152 11
253 168 8
253 186 27
253 189 48
253 191 5
253 198 3
253 201 29
253 204 35
253 210 4
253 222 15
253 239 42
253 250 49
253 254 100
253 255 49
253 257 31
253 270 11
254 32 39
254 89 31
254 93 15
254 99 43
254 103 28
254 135 42
254 142 43
254 144 24
254 209 44
254 221 14
254 255 100
254 257 49
254 276 22
254 279 34
254 286 21
254 292 44
255 8 7
255 58 29
255 64 17
255 105 15
255 118 43
255 130 25
255 217 41
255 219 17
255 237 33
255 251 36
255 256 100
255 260 15
255 285 20
255 293 1
256 9 14
256 10 47
256 14 13
256 17 28
256 36 29
256 47 37
256 53 30
256 76 9
256 86 19
256 118 15
256 124 8
256 179 33
256 199 48
256 209 49
256 250 38
256 257 100
256 260 47
256 284 28
256 298 7
257 19 39
257 43 20
257 54 7
257 87 1
257 129 6
257 171 3
257 219 41
257 236 12
257 248 21
257 258 100
257 266 29
257 285 17
257 294 17
257 300 29
258 3 24
258 10 20
258 20 26
258 27 31
258 30 48
258 58 47
258 105 10
258 113 11
258 154 10
258 157 25
258 172 12
258 188 25
258 192 13
258 197 5
258 229 35
258 247 21
258 259 100
258 274 38
259 120 47
259 142 8
259 154 48
259 206 2
259 260 100
259 293 44
260 5 36
260 8 19
260 11 14
260 50 14
260 53 49
260 62 6
260 95 5
260 103 34
260 105 15
260 138 1
260 144 7
260 148 42
260 152 33
260 153 41
260 169 19
260 186 27
260 198 39
260 208 26
260 223 47
260 236 18
260 261 100
260 274 23
260 283 44
260 286 20
261 40 9
261 70 40
261 77 19
261 99 46
261 120 6
261 137 31
261 150 41
261 217 35
261 260 21
261 262 100
262 28 27
262 35 20
262 59 5
262 62 26
262 70 6
262 75 8
262 125 48
262 135 29
262 146 43
262 156 32
262 173 25
262 177 43
262 192 13
262 199 38
262 202 5
262 209 8
262 216 10
262 263 100
262 273 40
262 287 10
262 292 18
263 92 37
263 95 20
263 101 8
263 116 9
263 128 29
263 213 42
263 264 100
263 275 35
263 282 40
264 14 48
264 31 41
264 50 29
264 99 17
264 106 30
264 109 49
264 111 25
264 137 5
264 145 25
264 150 18
264 155 9
264 204 23
264 205 31
264 226 21
264 240 8
264 249 24
264 260 25
264 265 100
264 267 41
265 9 45
265 19 11
265 48 23
265 51 7
265 66 41
265 96 47
265 106 7
265 129 26
265 137 30
265 187 7
265 190 27
265 192 26
265 206 40
265 262 41
265 266 100
266 42 2
266 65 25
266 115 29
266 134 37
266 267 100
266 288 11
267 51 10
267 64 42
267 86 27
267 110 17
267 142 30
267 144 17
267 171 20
267 172 24
267 203 27
267 208 3
267 216 34
267 221 28
267 231 39
267 260 5
267 266 18
267 268 100
267 276 11
267 296 25
268 20 39
268 30 31
268 93 36
268 173 10
268 204 23
268 212 18
268 269 100
269 27 27
269 97 44
269 122 6
269 192 15
269 248 24
269 270 100
269 272 16
270 43 35
270 62 22
270 85 3
270 95 38
270 101 5
270 105 13
270 112 21
270 113 26
270 117 3
270 126 31
270 187 33
270 198 46
270 213 29
270 224 42
270 230 44
270 235 40
270 248 39
270 261 35
270 263 47
270 271 100
270 292 44
270 298 26
271 3 35
271 12 28
271 56 32
271 67 25
271 74 22
271 103 35
271 104 24
271 125 6
271 137 2
271 146 7
271 168 43
271 198 29
271 272 100
271 276 3
271 277 26
271 282 35
272 99 19
272 124 17
272 201 14
272 229 24
272 245 44
272 273 100
273 6 28
273 82 48
273 100 45
273 179 36
273 192 37
273 207 7
273 238 47
273 274 100
274 4 18
274 5 18
274 9 7
274 24 46
274 65 26
274 68 21
274 69 17
274 111 28
274 123 4
274 138 18
274 139 42
274 155 12
274 160 8
274 175 13
274 177 44
274 186 41
274 187 10
274 202 5
274 207 22
274 214 7
274 239 22
274 275 100
274 282 6
274 297 19
275 18 34
275 30 1
275 68 2
275 71 31
275 105 35
275 114 14
275 146 6
275 178 13
275 192 47
275 276 100
276 40 25
276 42 38
276 110 27
276 169 25
276 240 45
276 243 8
276 246 13
276 247 47
276 265 29
276 277 100
277 7 8
277 11 17
277 12 33
277 17 27
277 22 46
277 64 14
277 134 42
277 140 11
277 163 17
277 181 29
277 212 44
277 219 10
277 250 31
277 254 30
277 278 100
278 6 47
278 14 33
278 31 38
278 52 4
278 61 30
278 77 10
278 78 31
278 90 15
278 96 43
278 97 30
278 102 30
278 103 29
278 118 3
278 136 17
278 169 3
278 178 49
278 184 19
278 185 21
278 206 27
278 243 40
278 279 100
278 286 27
278 288 37
279 2 21
279 5 30
279 65 5
279 95 37
279 103 27
279 141 8
279 165 33
279 167 28
279 194 12
279 204 31
279 213 35
279 280 100
280 27 15
280 39 31
280 42 43
280 54 34
280 68 33
280 70 47
280 81 3
280 94 44
280 97 15
280 98 5
280 104 18
280 112 46
280 123 48
280 132 19
280 180 33
280 196 47
280 202 18
280 203 31
280 204 16
280 209 21
280 213 15
280 227 3
280 231 49
280 281 100
281 21 17
281 77 1
281 122 20
281 193 23
281 282 100
281 288 43
282 9 10
282 19 12
282 21 31
282 33 11
282 76 43
282 82 35
282 86 13
282 89 1
282 90 11
282 115 11
282 124 29
282 158 38
282 195 32
282 234 35
282 247 32
282 263 7
282 272 6
282 283 100
283 32 47
283 33 32
283 43 14
283 61 44
283 72 22
283 101 2
283 115 17
283 140 48
283 161 22
283 167 26
283 178 9
283 208 48
283 223 41
283 228 26
283 284 100
284 34 35
284 62 9
284 63 31
284 75 15
284 78 8
284 86 9
284 99 23
284 111 39
284 137 45
284 144 9
284 153 35
284 154 13
284 155 25
284 164 46
284 165 14
284 174 22
284 212 48
284 223 8
284 236 42
284 252 24
284 260 15
284 282 9
284 285 100
284 299 24
285 38 23
285 40 22
285 59 23
285 66 21
285 88 42
285 180 21
285 212 37
285 218 1
285 224 47
285 273 25
285 275 43
285 277 31
285 286 100
286 6 13
286 14 16
286 103 32
286 118 49
286 170 24
286 181 41
286 182 39
286 209 24
286 258 30
286 270 5
286 287 100
287 4 16
287 13 22
287 84 18
287 87 17
287 94 47
287 101 49
287 109 39
287 111 35
287 114 30
287 119 6
287 123 44
287 149 25
287 152 21
287 154 1
287 190 17
287 219 23
287 256 48
287 282 6
287 288 100
288 22 1
288 35 49
288 38 16
288 103 12
288 148 22
288 176 5
288 195 28
288 204 3
288 215 22
288 217 6
288 231 19
288 284 35
288 289 100
289 3 3
289 31 43
289 44 44
289 128 33
289 140 43
289 147 2
289 218 13
289 289 45
289 290 36
290 19 10
290 23 45
290 26 42
290 57 16
290 64 20
290 65 40
290 96 31
290 101 13
290 109 3
290 116 4
290 133 44
290 136 12
290 138 5
290 146 27
290 149 19
290 160 29
290 167 30
290 180 12
290 204 10
290 236 14
290 238 13
290 250 35
290 291 100
291 16 46
291 28 17
291 50 6
291 81 13
291 101 26
291 103 29
291 108 47
291 140 7
291 147 43
291 172 6
291 176 36
291 201 49
291 214 1
291 222 11
291 229 13
291 261 31
291 286 4
291 292 100
292 1 3
292 11 26
292 14 27
292 32 47
292 126 17
292 142 14
292 167 17
292 183 27
292 184 19
292 195 15
292 237 49
292 242 34
292 260 8
292 262 41
292 274 16
292 293 100
293 42 6
293 84 47
293 95 6
293 119 46
293 144 15
293 168 48
293 175 14
293 183 30
293 294 100
293 298 15
294 117 32
294 204 14
294 217 27
294 219 24
294 229 45
294 260 20
294 289 26
294 295 100
295 2 1
295 5 1
295 11 23
295 18 18
295 28 45
295 35 13
295 37 18
295 69 23
295 91 22
295 110 30
295 129 20
295 171 33
295 203 14
295 214 35
295 215 29
295 221 20
295 232 3
295 237 22
295 289 35
295 292 37
295 296 100
295 300 39
296 12 9
296 34 34
296 42 26
296 56 48
296 80 5
296 101 3
296 110 39
296 120 36
296 143 6
296 152 10
296 153 10
296 177 35
296 181 43
296 205 11
296 222 3
296 233 26
296 245 14
296 263 15
296 294 35
296 295 37
296 297 100
297 42 22
297 48 18
297 52 9
297 74 45
297 75 41
297 93 28
297 96 39
297 149 24
297 156 36
297 160 44
297 162 33
297 208 21
297 232 1
297 234 2
297 258 11
297 264 45
297 275 1
